Tournament,Stage,Match Type,Match Name,Team,Action,Map,tournament
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,FNATIC,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,LOUD,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,FNATIC,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,LOUD,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Evil Geniuses,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Evil Geniuses,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,LOUD,pick,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Evil Geniuses,pick,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,LOUD,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Evil Geniuses,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,pick,Bind,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Evil Geniuses,pick,Lotus,vct_2023
