Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Round 1,Rex Regum Qeon vs Gen.G,237272,Lotus,135667,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Round 1,Rex Regum Qeon vs Gen.G,237272,Ascent,135668,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Final,Team Secret vs Gen.G,237273,Haven,135669,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Final,Team Secret vs Gen.G,237273,Pearl,135670,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Final,Team Secret vs Gen.G,237273,Ascent,135671,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Final,Team Secret vs Gen.G,237273,Lotus,135672,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Grand Final,ZETA DIVISION vs Team Secret,237274,Fracture,135674,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Grand Final,ZETA DIVISION vs Team Secret,237274,Ascent,135675,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Grand Final,ZETA DIVISION vs Team Secret,237274,Split,135676,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Grand Final,ZETA DIVISION vs Team Secret,237274,Lotus,135677,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Weibo Gaming vs Totoro Gaming,219595,Haven,131829,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Weibo Gaming vs Totoro Gaming,219595,Split,131830,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Number One Player vs Douyu Gaming,219596,Lotus,131832,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Number One Player vs Douyu Gaming,219596,Split,131833,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Gank Gaming vs Royal Never Give Up,219594,Ascent,131826,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Gank Gaming vs Royal Never Give Up,219594,Lotus,131827,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Gank Gaming vs Royal Never Give Up,219594,Bind,131828,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Four Angry Men vs Night Wings Gaming,219598,Bind,131838,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Four Angry Men vs Night Wings Gaming,219598,Pearl,131839,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Four Angry Men vs Night Wings Gaming,219598,Split,131840,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Invincible Gaming vs Nova Esports,219597,Split,131835,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Invincible Gaming vs Nova Esports,219597,Fracture,131836,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,TYLOO vs Monarch Effect,219599,Lotus,131841,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,TYLOO vs Monarch Effect,219599,Ascent,131842,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,TYLOO vs Monarch Effect,219599,Split,131843,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Shenzhen NTER vs Kingzone,219601,Fracture,131847,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Shenzhen NTER vs Kingzone,219601,Lotus,131848,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Dragon Ranger Gaming vs Rare Atom,219600,Haven,131844,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Dragon Ranger Gaming vs Rare Atom,219600,Lotus,131845,vct_2023
